run_id,group,algorithm,np,threads,nodes,ppn,total_cores,nlist,nprobe,k,test_queries,partition,cache_hit,recall,latency_us,bcast_us,search_avg_us,search_max_us,gather_us,merge_us,candidate_count_avg,work_min,work_avg,work_max,imbalance_ratio,batch_time_ms,qps
45346.master_ubss1,IVF-B,ivf-mpi-3-3,4,1,1,4,4,256,32,10,2000,block-id,1,0.987800,293.401837,1.820087,237.838835,264.988899,7.856846,1.047015,16025.123500,25000,25000.000000,25000,1.000000,590.304613,3388.081264
45347.master_ubss1,IVF-B,ivf-mpi-3-3,4,1,1,4,4,256,32,10,2000,block-id,1,0.987800,263.745427,1.798749,217.133224,237.616301,11.855721,1.002789,16025.123500,25000,25000.000000,25000,1.000000,530.736923,3768.345319
45348.master_ubss1,IVF-B,ivf-mpi-3-3,4,1,1,4,4,256,64,10,2000,block-id,1,0.997100,446.358681,3.357887,366.129309,409.938455,70.671320,1.117826,28580.671000,25000,25000.000000,25000,1.000000,896.367073,2231.228768
45349.master_ubss1,IVF-B,ivf-mpi-3-3,4,1,1,4,4,256,64,10,2000,block-id,1,0.997100,440.952301,4.218698,377.585381,402.751803,37.975311,1.259208,28580.671000,25000,25000.000000,25000,1.000000,885.663271,2258.194582
45350.master_ubss1,IVF-B,ivf-mpi-3-3,4,1,1,4,4,256,64,10,2000,block-id,1,0.997100,453.588843,3.198981,376.832336,417.522192,10.906219,1.204967,28580.671000,25000,25000.000000,25000,1.000000,911.049604,2195.270148
45351.master_ubss1,IVF-B,ivf-mpi-3-3,4,1,1,4,4,512,8,10,2000,block-id,1,0.869700,85.894465,1.448154,48.416853,56.230187,16.643405,0.902414,2888.334500,25000,25000.000000,25000,1.000000,174.680948,11449.445517
45352.master_ubss1,IVF-B,ivf-mpi-3-3,4,1,1,4,4,512,8,10,2000,block-id,1,0.869700,86.512566,1.308203,51.179677,58.452845,10.750175,0.861764,2888.334500,25000,25000.000000,25000,1.000000,175.952196,11366.723713
45353.master_ubss1,IVF-B,ivf-mpi-3-3,4,1,1,4,4,512,8,10,2000,block-id,1,0.869700,82.815051,1.270413,46.597391,51.532984,6.835938,0.877976,2888.334500,25000,25000.000000,25000,1.000000,168.566942,11864.722547
45354.master_ubss1,IVF-B,ivf-mpi-3-3,4,1,1,4,4,512,16,10,2000,block-id,1,0.935300,103.264809,1.364946,64.820945,69.041252,12.289047,0.891328,5002.257500,25000,25000.000000,25000,1.000000,209.493399,9546.840200
45355.master_ubss1,IVF-B,ivf-mpi-3-3,4,1,1,4,4,512,16,10,2000,block-id,1,0.935300,119.925380,1.503706,77.466279,86.597681,4.538536,0.938177,5002.257500,25000,25000.000000,25000,1.000000,242.859125,8235.226899
45356.master_ubss1,IVF-B,ivf-mpi-3-3,4,1,1,4,4,512,16,10,2000,block-id,1,0.935300,112.970591,4.443765,69.835275,75.301647,8.111596,0.920296,5002.257500,25000,25000.000000,25000,1.000000,229.006529,8733.375463
45357.master_ubss1,IVF-B,ivf-mpi-3-3,4,1,1,4,4,512,32,10,2000,block-id,1,0.971350,173.265219,1.960874,124.568969,135.726571,11.771917,1.013756,8724.534500,25000,25000.000000,25000,1.000000,349.730253,5718.693140
45358.master_ubss1,IVF-B,ivf-mpi-3-3,4,1,1,4,4,512,32,10,2000,block-id,1,0.971350,170.775533,1.666784,123.697847,133.077145,17.210722,0.959516,8724.534500,25000,25000.000000,25000,1.000000,344.686747,5802.369890
45359.master_ubss1,IVF-B,ivf-mpi-3-3,4,1,1,4,4,512,32,10,2000,block-id,1,0.971350,197.793603,1.950026,138.812840,159.244418,31.439066,1.038074,8724.534500,25000,25000.000000,25000,1.000000,398.918629,5013.553783
