ivf_mpi_omp_results.csv

run_id,algorithm,np,threads,nodes,ppn,total_cores,nlist,nprobe,k,test_queries,partition,cache_hit,recall,latency_us,bcast_us,search_avg_us,search_max_us,gather_us,merge_us,candidate_count_avg,work_min,work_avg,work_max,imbalance_ratio,batch_time_ms,qps
45265.master_ubss1,ivf-mpi-omp,1,8,1,8,8,512,64,10,2000,block,1,0.990600,268.924952,0.257134,210.414529,210.414529,0.790358,0.545502,15384.605000,100000,100000.000000,100000,1.000000,541.694164,3692.120262

45266.master_ubss1,ivf-mpi-omp,1,8,1,8,8,512,64,10,2000,block,1,0.990550,239.254951,0.281811,187.345862,187.345862,0.503063,0.493884,15384.605000,100000,100000.000000,100000,1.000000,481.954098,4149.772788

45267.master_ubss1,ivf-mpi-omp,1,8,1,8,8,512,64,10,2000,block,1,0.990550,250.432968,0.286102,197.372079,197.372079,0.623584,0.600934,15384.605000,100000,100000.000000,100000,1.000000,504.451036,3964.705899

45268.master_ubss1,ivf-mpi-omp,4,1,1,4,4,512,64,10,2000,block,1,0.990550,352.784753,2.769709,273.906261,305.603504,33.454657,1.149416,15384.605000,25000,25000.000000,25000,1.000000,709.086180,2820.531632

45269.master_ubss1,ivf-mpi-omp,4,1,1,4,4,512,64,10,2000,block,1,0.990550,260.445237,2.220154,203.730524,214.957356,15.487313,1.041770,15384.605000,25000,25000.000000,25000,1.000000,523.990631,3816.862137

45270.master_ubss1,ivf-mpi-omp,4,1,1,4,4,512,64,10,2000,block,1,0.990550,255.334377,2.475262,191.896558,205.584645,29.699683,1.032829,15384.605000,25000,25000.000000,25000,1.000000,513.883829,3891.930212

45271.master_ubss1,ivf-mpi-omp,4,1,1,4,4,512,64,10,2000,block,1,0.990550,361.902118,2.487898,282.174587,315.168142,28.742075,1.099467,15384.605000,25000,25000.000000,25000,1.000000,727.274179,2749.994509

45272.master_ubss1,ivf-mpi-omp,4,1,1,4,4,512,64,10,2000,block,1,0.990550,262.177348,2.165079,200.143337,214.949489,26.394010,1.070142,15384.605000,25000,25000.000000,25000,1.000000,527.643681,3790.436754

45273.master_ubss1,ivf-mpi-omp,4,2,1,8,8,512,64,10,2000,block,1,0.990550,237.734079,2.006650,161.785781,191.080451,58.929205,1.110315,15384.605000,25000,25000.000000,25000,1.000000,479.194403,4173.671455

45275.master_ubss1,ivf-mpi-omp,4,2,1,8,8,512,64,10,2000,block,1,0.990550,237.583876,2.516031,159.645438,188.079238,43.560386,1.088619,15384.605000,25000,25000.000000,25000,1.000000,478.673697,4178.211618

45276.master_ubss1,ivf-mpi-omp,4,2,1,8,8,512,64,10,2000,block,1,0.990550,199.851274,2.286315,133.639395,148.842216,22.185445,1.160860,15384.605000,25000,25000.000000,25000,1.000000,403.195858,4960.368417

45277.master_ubss1,ivf-mpi-omp,4,4,2,8,16,512,64,10,2000,block,1,0.990550,1658.904076,2.505302,811.717182,1232.128382,562.515140,1.214385,15384.605000,25000,25000.000000,25000,1.000000,3322.021484,602.043066

45278.master_ubss1,ivf-mpi-omp,4,4,2,8,16,512,64,10,2000,block,1,0.990550,1642.260194,2.572417,828.370005,1232.970238,524.902582,1.232624,15384.605000,25000,25000.000000,25000,1.000000,3288.681746,608.146411

45279.master_ubss1,ivf-mpi-omp,4,4,2,8,16,512,64,10,2000,block,1,0.990550,1667.757511,3.010988,823.276132,1250.737906,570.556283,1.330137,15384.605000,25000,25000.000000,25000,1.000000,3339.840651,598.830965

45280.master_ubss1,ivf-mpi-omp,8,2,2,8,16,256,8,10,2000,block,0,0.915550,1531.910896,2.369523,603.181943,668.593049,281.773448,1.292706,5148.186500,12500,12500.000000,12500,1.000000,3067.019463,652.098894

45282.master_ubss1,ivf-mpi-omp,8,2,2,8,16,256,8,10,2000,block,1,0.915550,1522.387505,2.613664,607.333213,667.626381,267.483830,1.673698,5148.186500,12500,12500.000000,12500,1.000000,3048.907518,655.972668

45283.master_ubss1,ivf-mpi-omp,8,2,2,8,16,256,8,10,2000,block,1,0.915550,1500.889659,2.293110,602.119327,641.672969,251.351953,1.673818,5148.186500,12500,12500.000000,12500,1.000000,3005.924225,665.352767

45284.master_ubss1,ivf-mpi-omp,8,2,2,8,16,256,16,10,2000,block,1,0.964600,1333.521962,3.260374,690.913320,923.978329,31.313777,1.317501,9084.484500,12500,12500.000000,12500,1.000000,2670.542479,748.911510

45285.master_ubss1,ivf-mpi-omp,8,2,2,8,16,256,16,10,2000,block,1,0.964600,1529.047728,2.337813,628.622726,673.647642,262.049913,1.329541,9084.484500,12500,12500.000000,12500,1.000000,3061.468601,653.281239

45287.master_ubss1,ivf-mpi-omp,8,2,2,8,16,256,16,10,2000,block,1,0.964600,1290.602922,2.297163,686.241448,897.740126,16.899109,1.642585,9084.484500,12500,12500.000000,12500,1.000000,2585.647345,773.500688

45289.master_ubss1,ivf-mpi-omp,8,2,2,8,16,256,16,10,2000,block,1,0.964600,1718.814850,2.547503,635.535523,860.230207,431.274533,1.807928,9084.484500,12500,12500.000000,12500,1.000000,3442.480564,580.976410

45290.master_ubss1,ivf-mpi-omp,8,2,2,8,16,256,16,10,2000,block,1,0.964600,1325.330973,4.164934,690.823153,923.432946,48.415542,1.316786,9084.484500,12500,12500.000000,12500,1.000000,2654.082537,753.556068

45292.master_ubss1,ivf-mpi-omp,8,2,2,8,16,256,32,10,2000,block,0,0.987800,1602.845788,3.792644,727.975249,986.041784,258.303404,1.753330,16025.123500,12500,12500.000000,12500,1.000000,3210.613012,622.933998

45293.master_ubss1,ivf-mpi-omp,8,2,2,8,16,256,32,10,2000,block,1,0.987800,1373.637915,5.005956,735.250995,962.444186,29.099226,1.451612,16025.123500,12500,12500.000000,12500,1.000000,2751.613140,726.846362

45294.master_ubss1,ivf-mpi-omp,8,2,2,8,16,256,32,10,2000,block,1,0.987800,1390.537858,3.620386,742.801398,973.083138,44.482350,1.451731,16025.123500,12500,12500.000000,12500,1.000000,2784.936905,718.149124

45295.master_ubss1,ivf-mpi-omp,8,2,2,8,16,256,32,10,2000,block,1,0.987800,1617.523789,2.815247,685.667545,748.566866,263.143539,1.455903,16025.123500,12500,12500.000000,12500,1.000000,3238.757849,617.520696

45297.master_ubss1,ivf-mpi-omp,8,2,2,8,16,256,32,10,2000,block,1,0.987800,1393.995285,3.053427,755.420044,993.319750,79.792976,1.397729,16025.123500,12500,12500.000000,12500,1.000000,2791.681290,716.414158

45298.master_ubss1,ivf-mpi-omp,8,2,2,8,16,256,64,10,2000,block,1,0.997100,1507.577062,2.734065,822.137132,1032.522798,89.937925,1.493454,28580.671000,12500,12500.000000,12500,1.000000,3019.225836,662.421465

